match_id,home_team,away_team,date,season,temporal_weight,home_form_win_rate,home_form_draw_rate,home_form_goals_scored,home_form_goals_conceded,away_form_win_rate,away_form_draw_rate,away_form_goals_scored,away_form_goals_conceded,home_overall_win_rate,away_overall_win_rate,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_avg_goals,ref_avg_yellow,ref_avg_red,odds_home,odds_draw,odds_away,odds_over25,target_result,target_home_goals,target_away_goals,target_total_goals,target_home_cards,target_away_cards,target_total_cards
80,Crystal Palace,Man City,2019-10-19,1920,0.5657242734374999,0.5,0.5,1.0,0.25,0.75,0.0,3.25,1.25,0.8,1.0,0,0.33,0.33,0.0,4.0,0.14285714285714285,11.88,6.72,1.24,1.44,A,0,2,2,1,1,2
81,Wolves,Southampton,2019-10-19,1920,0.5657242734374999,0.25,0.5,1.5,1.75,0.5,0.0,1.0,1.25,0.4,0.4,0,0.33,0.33,0.0,4.0,0.0,1.85,3.58,4.52,2.09,D,1,1,2,3,2,5
82,Tottenham,Watford,2019-10-19,1920,0.5657242734374999,0.75,0.0,2.25,0.75,0.0,0.25,0.25,3.0,0.6,0.0,0,0.33,0.33,0.0,2.8333333333333335,0.0,1.42,4.9,7.48,1.53,D,1,1,2,4,3,7
83,Leicester,Burnley,2019-10-19,1920,0.5657242734374999,0.75,0.25,2.5,0.5,0.0,0.75,1.25,1.5,0.8,0.6,0,0.33,0.33,0.0,3.6666666666666665,0.3333333333333333,1.57,4.09,6.37,1.94,H,2,1,3,0,3,3
84,Everton,West Ham,2019-10-19,1920,0.5657242734374999,0.5,0.0,1.25,1.75,0.25,0.75,1.5,1.0,0.4,0.6,0,0.33,0.33,0.0,3.0,0.0,1.97,3.71,3.81,1.72,H,2,0,2,2,2,4
85,Bournemouth,Norwich,2019-10-19,1920,0.5657242734374999,0.25,0.5,1.75,1.75,0.0,0.0,0.25,2.5,0.6,0.4,0,0.33,0.33,0.0,4.0,0.3333333333333333,1.73,4.33,4.35,1.41,D,0,0,0,1,3,4
86,Aston Villa,Brighton,2019-10-19,1920,0.5657242734374999,0.25,0.5,1.25,1.0,0.25,0.25,0.75,1.5,0.4,0.4,0,0.33,0.33,0.0,2.5,0.0,2.38,3.43,3.05,1.82,H,2,1,3,1,3,4
87,Chelsea,Newcastle,2019-10-19,1920,0.5657242734374999,0.25,0.5,1.5,1.25,0.25,0.0,0.75,2.75,0.8,0.4,0,0.33,0.33,0.0,2.2,0.0,1.31,5.62,10.38,1.59,H,1,0,1,2,1,3
88,Man United,Liverpool,2019-10-20,1920,0.5657242734374999,0.5,0.25,1.75,0.75,1.0,0.0,2.0,0.5,0.4,1.6,0,0.33,0.33,0.0,3.5714285714285716,0.0,5.03,3.96,1.7,1.76,D,1,1,2,0,1,1
89,Sheffield United,Arsenal,2019-10-21,1920,0.5657242734374999,0.25,0.0,0.5,1.0,0.25,0.5,1.25,1.5,0.4,0.8,0,0.33,0.33,0.0,3.857142857142857,0.2857142857142857,3.88,3.79,1.93,1.69,H,1,0,1,4,4,8
90,Southampton,Leicester,2019-10-25,1920,0.5657242734374999,0.0,0.25,1.0,2.5,0.25,0.25,1.0,1.25,0.4,1.0,0,0.33,0.33,0.0,2.3333333333333335,0.0,3.2,3.34,2.36,2.01,A,0,9,9,1,0,1
91,West Ham,Sheffield United,2019-10-26,1920,0.5657242734374999,0.5,0.0,1.25,1.75,0.25,0.75,1.25,0.75,0.6,0.6,0,0.33,0.33,0.0,2.6666666666666665,0.3333333333333333,2.11,3.46,3.6,1.88,D,1,1,2,2,2,4
92,Watford,Bournemouth,2019-10-26,1920,0.5657242734374999,0.0,0.5,0.75,2.0,0.5,0.0,1.5,1.5,0.0,0.6,0,0.33,0.33,0.0,4.375,0.25,2.19,3.53,3.31,1.69,D,0,0,0,5,3,8
93,Burnley,Chelsea,2019-10-26,1920,0.5657242734374999,0.75,0.0,1.5,0.75,0.75,0.0,3.0,2.25,0.6,1.0,0,0.33,0.33,0.0,3.5714285714285716,0.0,4.53,4.02,1.75,1.66,A,2,4,6,3,2,5
94,Man City,Aston Villa,2019-10-26,1920,0.5657242734374999,0.5,0.25,3.5,1.0,0.25,0.0,2.0,2.0,1.2,0.6,0,0.33,0.33,0.0,2.6,0.4,1.09,11.64,28.3,1.21,H,3,0,3,2,1,3
95,Brighton,Everton,2019-10-26,1920,0.5657242734374999,0.25,0.5,1.25,1.0,0.0,0.25,0.25,1.5,0.4,0.6,0,0.33,0.33,0.0,2.5,0.0,2.87,3.3,2.58,2.06,H,3,2,5,2,1,3
96,Newcastle,Wolves,2019-10-27,1920,0.5657242734374999,0.25,0.5,0.5,0.5,0.25,0.5,1.25,1.0,0.4,0.4,0,0.33,0.33,0.0,4.6,0.4,3.02,3.09,2.59,2.49,D,1,1,2,3,2,5
97,Arsenal,Crystal Palace,2019-10-27,1920,0.5657242734374999,0.75,0.25,2.0,1.25,0.5,0.0,1.0,1.75,0.8,0.8,0,0.33,0.33,0.0,3.25,0.0,1.49,4.63,6.49,1.52,D,2,2,4,2,0,2
98,Liverpool,Tottenham,2019-10-27,1920,0.5657242734374999,1.0,0.0,3.0,1.0,0.0,0.5,1.25,2.25,1.6,0.6,0,0.33,0.33,0.0,3.75,0.125,1.54,4.45,6.11,1.53,H,2,1,3,3,3,6
99,Norwich,Man United,2019-10-27,1920,0.5657242734374999,0.5,0.0,2.25,2.75,0.0,0.5,0.5,1.25,0.4,0.4,0,0.33,0.33,0.0,3.0,0.25,4.36,3.91,1.8,1.67,A,1,3,4,2,2,4
100,Watford,Chelsea,2019-11-02,1920,0.5657242734374999,0.0,0.6,0.6,1.6,0.8,0.0,3.2,2.2,0.0,1.2,0,0.33,0.33,0.0,4.0,0.1111111111111111,4.99,4.24,1.65,1.63,A,1,2,3,4,2,6
101,West Ham,Newcastle,2019-11-02,1920,0.5657242734374999,0.4,0.2,1.2,1.6,0.2,0.0,0.6,2.4,0.6,0.4,0,0.33,0.33,0.0,3.2,0.2,1.79,3.82,4.55,1.83,A,2,3,5,2,1,3
102,Man City,Southampton,2019-11-02,1920,0.5657242734374999,0.6,0.2,3.4,0.8,0.4,0.2,1.0,1.2,1.4,0.4,0,0.33,0.33,0.0,4.0,0.25,1.08,11.99,29.72,1.22,H,2,1,3,3,1,4
103,Sheffield United,Burnley,2019-11-02,1920,0.5657242734374999,0.4,0.0,0.6,0.8,0.0,0.6,1.2,1.6,0.6,0.6,0,0.33,0.33,0.0,4.0,0.0,2.26,3.22,3.46,2.33,H,3,0,3,1,2,3
104,Aston Villa,Liverpool,2019-11-02,1920,0.5657242734374999,0.4,0.4,1.4,1.0,0.8,0.2,1.8,0.6,0.6,1.8,0,0.33,0.33,0.0,3.5714285714285716,0.2857142857142857,8.4,5.37,1.36,1.47,A,1,2,3,1,2,3
105,Arsenal,Wolves,2019-11-02,1920,0.5657242734374999,0.6,0.4,2.0,1.4,0.2,0.6,1.2,1.0,0.8,0.4,0,0.33,0.33,0.0,3.75,0.0,1.78,3.8,4.65,1.74,D,1,1,2,0,2,2
106,Bournemouth,Man United,2019-11-02,1920,0.5657242734374999,0.2,0.6,1.4,1.4,0.2,0.4,1.0,1.2,0.6,0.6,0,0.33,0.33,0.0,3.4285714285714284,0.0,3.33,3.55,2.19,1.84,H,1,0,1,4,3,7
107,Brighton,Norwich,2019-11-02,1920,0.5657242734374999,0.4,0.4,1.6,1.2,0.0,0.2,0.2,2.0,0.6,0.4,0,0.33,0.33,0.0,4.5,0.5,1.71,4.17,4.65,1.66,H,2,0,2,0,1,1
108,Crystal Palace,Leicester,2019-11-03,1920,0.5657242734374999,0.4,0.4,0.8,0.6,0.4,0.2,2.6,1.0,0.8,1.2,0,0.33,0.33,0.0,3.142857142857143,0.0,3.5,3.38,2.17,2.05,A,0,2,2,2,2,4
109,Everton,Tottenham,2019-11-03,1920,0.5657242734374999,0.6,0.0,1.4,1.4,0.0,0.4,1.2,2.2,0.6,0.6,0,0.33,0.33,0.0,3.111111111111111,0.0,2.73,3.49,2.57,1.74,D,1,1,2,1,3,4
110,Norwich,Watford,2019-11-08,1920,0.5657242734374999,0.4,0.0,2.0,2.8,0.0,0.4,0.4,2.6,0.4,0.0,0,0.33,0.33,0.0,2.0,0.14285714285714285,2.68,3.57,2.6,1.69,A,0,2,2,1,3,4
